"created_at","screen_name","source","favorite_count","retweet_count","followers_count","friends_count"
2021-03-23 13:21:41,"StateDeptSpox","Twitter for iPhone",229,81,481385,25
2021-03-22 14:39:47,"DominicRaab","Twitter Web App",901,352,314741,335
2021-03-22 20:39:39,"thorstenbenner","Twitter Web App",42,20,14689,998
2021-03-24 15:27:35,"PragueAirport","Twitter for iPhone",0,0,6922,226
2021-03-24 15:27:17,"gecajigas","Twitter for iPhone",0,0,93,823
2021-03-24 15:27:09,"lehiandi","Twitter for iPad",0,0,65,186
2021-03-24 15:27:00,"worldcrunch","TweetDeck",0,0,8156,177
2021-03-24 15:26:47,"junjudapi","Twitter for Android",0,1,6444,5883
2021-03-24 15:26:30,"TravelMagma","Revive Social App",0,0,7664,5654
2021-03-24 15:25:43,"Stonescaping","LaterMedia",0,0,91,166
2021-03-24 15:25:27,"em_viena","Twitter Web App",0,0,761,288
2021-03-24 15:25:00,"tradaid","Twitter for Android",0,0,21,135
2021-03-24 15:23:43,"Viennacpas","ClientWhys Social",0,0,12,56
2021-03-24 15:22:30,"esc_play","Twitter for Android",0,2,413,885
2021-03-24 15:22:19,"Radio_WIGWAM","Radio.co now playing",0,0,37509,37314
2021-03-24 15:22:03,"ReclaimV","Twitter for iPhone",0,1,4862,4039
2021-03-24 15:20:54,"royfocke","Tweetbot for iÎŸS",0,5,631,604
2021-03-24 15:20:31,"UN_Vienna","Twitter Web App",0,0,33599,508
2021-03-24 15:20:01,"Steph80335","Twitter Web App",0,0,1265,4590
2021-03-24 15:19:25,"BallenCBTech","Twitter for Android",0,0,177,450
2021-03-24 15:18:24,"VIEmediaNEWS","VIEmedia News",0,0,147,12
2021-03-24 15:18:00,"YasserSobhy","Twitter for Android",0,0,403,1087
2021-03-24 15:17:53,"IreneBo26","Twitter for Android",0,7,569,260
2021-03-24 15:17:35,"Xoph_vienna","TweetDeck",0,0,1853,3752
2021-03-24 15:16:32,"LisaLangWrites","NinjaLoveBot",0,1,2241,407
2021-03-24 15:16:16,"Kindle_history","The Social Jukebox",0,1,11065,10239
2021-03-24 15:16:13,"PetkovicDusko1","Twitter Web App",0,85,337,66
2021-03-24 15:15:48,"uzerbase1","Twitter Web App",0,0,25,259
2021-03-24 15:04:30,"uzerbase1","Twitter Web App",0,0,25,259
2021-03-24 14:54:24,"uzerbase1","Twitter Web App",0,0,25,259
2021-03-24 15:14:01,"uzerbase1","Twitter Web App",0,0,25,259
2021-03-24 15:10:38,"uzerbase1","Twitter Web App",0,0,25,259
2021-03-24 15:15:25,"danmule93","Twitter for Android",1,0,219,711
2021-03-24 15:15:10,"GabrielsChrista","Buffer",1,1,3218,5005
2021-03-24 15:15:00,"opensocietyuniv","Twitter Web App",0,0,261,127
2021-03-24 15:11:35,"vili_vienna","Twitter for iPhone",0,137,490,1275
2021-03-24 15:11:18,"dizekkkk","Twitter for Android",0,0,257,143
2021-03-24 15:10:52,"lshieldslks","Twitter Web App",0,2,868,843
2021-03-24 15:10:19,"vishal_shyin","Twitter for Android",0,85,1222,1406
2021-03-24 15:09:58,"MichaelisRoux","Twidere X Android",0,0,284,1065
2021-03-24 14:51:00,"MichaelisRoux","Twidere X Android",0,0,284,1065
2021-03-24 15:07:58,"DrFGHobo","Twitter Web App",0,0,70,202
2021-03-24 15:02:51,"DrFGHobo","Twitter Web App",0,0,70,202
2021-03-24 15:01:44,"DrFGHobo","Twitter Web App",0,0,70,202
2021-03-24 15:06:12,"metropole_vie","TweetDeck",2,0,2467,686
2021-03-24 15:05:59,"Kecaj120","Twitter Web App",0,15,153,138
2021-03-24 15:00:47,"Roderick_Vienna","Twitter for iPhone",0,0,26,162
2021-03-24 15:05:27,"Roderick_Vienna","Twitter for iPhone",0,0,26,162
2021-03-24 14:58:49,"Roderick_Vienna","Twitter for iPhone",0,0,26,162
2021-03-24 15:05:04,"IUK_EDGE_North","Hootsuite Inc.",0,0,2017,495
2021-03-24 15:04:54,"handballswe","Twitter Web App",0,0,61,352
2021-03-24 15:04:52,"PurlzSwine","Twitter for iPhone",0,7,273,339
2021-03-24 15:04:36,"lizvlx","Twitter for iPhone",1,0,1607,326
2021-03-24 15:04:23,"ShinigamiHarley","Twitter for Android",0,7,432,714
2021-03-24 15:04:18,"BandNviolins","Circleboom Publish",0,0,710,1195
2021-03-24 15:03:45,"tmj_aut_adv","CareerArc 2.0",0,0,159,100
2021-03-24 15:02:56,"JennniferWest","Twitter Web App",0,0,1466,1348
2021-03-24 15:02:04,"DarinTannerWell","Twitter for Android",0,7,10653,1380
2021-03-24 15:01:52,"1Gamerhdmt","Twitter for Android",0,0,0,3
2021-03-24 14:57:02,"1Gamerhdmt","Twitter for Android",1,0,0,3
2021-03-24 15:01:41,"Pg355Piotr","Twitter for Android",0,0,696,1384
2021-03-24 15:01:26,"Speaker_of_Os","Twitter Web App",0,0,58,45
2021-03-24 15:01:05,"derStandardde","Zapier.com",0,0,510,240
2021-03-24 15:00:05,"stargyuus","Twitter for Android",0,814,199,423
2021-03-24 14:59:34,"petroweaver","Twitter Web App",0,5,10158,2091
2021-03-24 14:59:06,"1b8tmkp632Wzc0i","Twitter for iPhone",0,47,8,25
2021-03-24 14:59:01,"JahmyaMoody","Twitter for Android",1,0,71,123
2021-03-24 14:58:57,"CityHallWchVAN","Twitter Web App",0,0,5449,3036
2021-03-24 14:58:35,"Waves_Vienna","Twitter Web App",3,2,2259,706
2021-03-24 14:58:30,"SteidlVerlag","Twitter Web App",0,5,13583,1115
2021-03-24 14:57:54,"wienwanderland","Twitter for iPad",0,0,48,92
2021-03-24 14:56:52,"PoliteButFirm","Twitter for Android",0,7,1674,3058
2021-03-24 14:56:45,"mixdevil66","Twitter Web App",0,5,3485,468
2021-03-24 14:55:41,"guslopez660","Twitter for iPhone",0,85,4042,4237
2021-03-24 14:55:21,"sayidwarsameA","Twitter for iPhone",0,0,770,281
2021-03-24 14:55:03,"soinnagency","Hootsuite Inc.",0,0,271,595
2021-03-24 14:54:58,"tashapancho67","Twitter for Android",0,7,471,1345
2021-03-24 14:54:55,"lifesciencevie","Twitter Web App",0,2,2125,967
2021-03-24 14:54:46,"taelizx","Twitter for Android",0,814,132,229
2021-03-24 14:54:13,"ErmiyaK","Twitter for Android",0,5,92,103
2021-03-24 14:54:13,"andrzej84988201","Twitter Web App",0,15,134,124
2021-03-24 14:54:12,"gildur09","Twitter for Android",0,2,266,745
2021-03-24 14:53:34,"surfsupcaI","Twitter for iPhone",4,0,1513,1331
2021-03-24 14:53:00,"AgnieszkaO2GA","Twitter for Android",0,15,1506,1506
2021-03-24 14:52:44,"BecomeATexan","Twitter for iPad",0,0,1350,1339
2021-03-24 14:52:29,"derStandardat","Zapier.com",1,0,331793,27888
2021-03-24 14:52:26,"g_kohls","Twitter Web App",0,17,48140,26722
2021-03-24 14:52:07,"JK_Soldier","Twitter Web App",0,85,2092,918
2021-03-24 14:51:51,"hyo_chang","Instagram",0,0,203,201
2021-03-24 14:51:50,"zneroleahcim","Twitter Web App",0,0,51,25
2021-03-24 14:51:26,"Vanoudenhaegen","Twitter for Android",0,85,2257,931
2021-03-24 14:51:22,"kelly__le","Twitter for iPhone",73,7,26983,19267
2021-03-24 14:51:10,"Anakreontyk","Twitter Web App",0,15,3442,2415
2021-03-24 14:51:02,"Immune_News","Sprout Social",0,0,6391,477
2021-03-24 14:50:41,"analivierr","Twitter for iPhone",0,0,209,485
2021-03-24 14:50:38,"GLO_ERC","Twitter Web App",0,0,368,631
2021-03-24 14:50:35,"Carezza_vienna","Twitter for iPhone",0,0,54,891
2021-03-24 14:50:27,"docjosiahboone","Twitter Web App",0,0,9658,1505
2021-03-24 14:50:02,"world_news_eng","world_news_eng",0,5,1425,39
2021-03-24 14:49:49,"alcantaragiu","Twitter for iPhone",0,0,4,19
