Week,Veganism,Avocado
2016-02-21,45,31
2016-02-28,45,30
2016-03-06,47,30
2016-03-13,46,32
2016-03-20,51,30
2016-03-27,46,30
2016-04-03,48,33
2016-04-10,48,32
2016-04-17,48,32
2016-04-24,48,33
2016-05-01,49,34
2016-05-08,45,33
2016-05-15,51,33
2016-05-22,51,31
2016-05-29,50,30
2016-06-05,48,30
2016-06-12,47,30
2016-06-19,47,28
2016-06-26,46,30
2016-07-03,47,33
2016-07-10,45,29
2016-07-17,46,29
2016-07-24,45,28
2016-07-31,45,28
2016-08-07,46,27
2016-08-14,42,26
2016-08-21,45,27
2016-08-28,45,27
2016-09-04,45,27
2016-09-11,46,26
2016-09-18,45,25
2016-09-25,45,25
2016-10-02,46,24
2016-10-09,45,24
2016-10-16,45,25
2016-10-23,50,25
2016-10-30,55,25
2016-11-06,50,25
2016-11-13,53,25
2016-11-20,57,24
2016-11-27,53,23
2016-12-04,53,24
2016-12-11,53,23
2016-12-18,62,26
2016-12-25,76,28
2017-01-01,57,29
2017-01-08,51,30
2017-01-15,51,31
2017-01-22,49,33
2017-01-29,49,34
2017-02-05,49,34
2017-02-12,49,33
2017-02-19,50,34
2017-02-26,53,32
2017-03-05,50,32
2017-03-12,51,32
2017-03-19,50,33
2017-03-26,53,32
2017-04-02,50,32
2017-04-09,54,32
2017-04-16,49,31
2017-04-23,47,33
2017-04-30,49,33
2017-05-07,49,36
2017-05-14,48,35
2017-05-21,47,33
2017-05-28,48,32
2017-06-04,49,31
2017-06-11,47,31
2017-06-18,51,32
2017-06-25,58,31
2017-07-02,60,31
2017-07-09,67,33
2017-07-16,69,33
2017-07-23,71,31
2017-07-30,71,32
2017-08-06,71,30
2017-08-13,68,30
2017-08-20,66,30
2017-08-27,66,28
2017-09-03,68,27
2017-09-10,62,28
2017-09-17,61,27
2017-09-24,63,27
2017-10-01,61,26
2017-10-08,63,27
2017-10-15,63,28
2017-10-22,63,28
2017-10-29,66,26
2017-11-05,64,27
2017-11-12,68,28
2017-11-19,71,26
2017-11-26,63,27
2017-12-03,62,26
2017-12-10,64,27
2017-12-17,74,27
2017-12-24,70,31
2017-12-31,78,32
2018-01-07,71,33
2018-01-14,70,32
2018-01-21,70,32
2018-01-28,71,34
2018-02-04,69,35
2018-02-11,72,33
2018-02-18,69,34
2018-02-25,64,35
2018-03-04,69,35
2018-03-11,66,35
2018-03-18,67,35
2018-03-25,75,36
2018-04-01,67,34
2018-04-08,64,36
2018-04-15,62,34
2018-04-22,61,35
2018-04-29,64,36
2018-05-06,61,36
2018-05-13,61,34
2018-05-20,61,37
2018-05-27,63,36
2018-06-03,62,34
2018-06-10,61,34
2018-06-17,60,32
2018-06-24,59,33
2018-07-01,62,35
2018-07-08,64,35
2018-07-15,63,38
2018-07-22,64,38
2018-07-29,63,37
2018-08-05,64,36
2018-08-12,64,34
2018-08-19,64,33
2018-08-26,62,34
2018-09-02,60,33
2018-09-09,60,31
2018-09-16,61,31
2018-09-23,62,31
2018-09-30,64,30
2018-10-07,65,31
2018-10-14,64,32
2018-10-21,62,31
2018-10-28,68,31
2018-11-04,68,33
2018-11-11,66,31
2018-11-18,71,29
2018-11-25,62,29
2018-12-02,66,29
2018-12-09,66,29
2018-12-16,75,28
2018-12-23,72,33
2018-12-30,82,37
2019-01-06,75,36
2019-01-13,70,38
2019-01-20,71,37
2019-01-27,68,38
2019-02-03,70,39
2019-02-10,67,36
2019-02-17,67,37
2019-02-24,64,37
2019-03-03,68,37
2019-03-10,67,38
2019-03-17,67,39
2019-03-24,66,46
2019-03-31,66,41
2019-04-07,71,37
2019-04-14,72,36
2019-04-21,66,35
2019-04-28,65,35
2019-05-05,66,36
2019-05-12,61,36
2019-05-19,64,34
2019-05-26,62,33
2019-06-02,64,34
2019-06-09,62,33
2019-06-16,66,34
2019-06-23,65,33
2019-06-30,64,32
2019-07-07,65,34
2019-07-14,65,35
2019-07-21,67,35
2019-07-28,69,36
2019-08-04,68,34
2019-08-11,70,34
2019-08-18,70,33
2019-08-25,69,33
2019-09-01,70,30
2019-09-08,66,30
2019-09-15,67,31
2019-09-22,69,31
2019-09-29,67,31
2019-10-06,68,30
2019-10-13,71,30
2019-10-20,80,30
2019-10-27,86,31
2019-11-03,89,32
2019-11-10,89,32
2019-11-17,90,32
2019-11-24,88,29
2019-12-01,82,29
2019-12-08,84,30
2019-12-15,90,30
2019-12-22,92,34
2019-12-29,100,38
2020-01-05,97,36
2020-01-12,94,39
2020-01-19,91,39
2020-01-26,86,38
2020-02-02,84,40
2020-02-09,85,37
2020-02-16,83,38
2020-02-23,81,36
2020-03-01,81,36
2020-03-08,69,33
2020-03-15,57,33
2020-03-22,62,35
2020-03-29,68,39
2020-04-05,76,43
2020-04-12,72,45
2020-04-19,70,49
2020-04-26,73,50
2020-05-03,75,52
2020-05-10,72,51
2020-05-17,74,50
2020-05-24,71,49
2020-05-31,71,48
2020-06-07,70,45
2020-06-14,75,46
2020-06-21,72,46
2020-06-28,71,45
2020-07-05,72,44
2020-07-12,71,44
2020-07-19,75,45
2020-07-26,76,46
2020-08-02,76,43
2020-08-09,70,42
2020-08-16,72,41
2020-08-23,73,41
2020-08-30,69,39
2020-09-06,72,38
2020-09-13,68,37
2020-09-20,69,38
2020-09-27,68,34
2020-10-04,68,35
2020-10-11,68,35
2020-10-18,66,35
2020-10-25,66,36
2020-11-01,61,35
2020-11-08,68,35
2020-11-15,71,38
2020-11-22,75,33
2020-11-29,67,33
2020-12-06,70,34
2020-12-13,69,33
2020-12-20,79,36
2020-12-27,73,40
2021-01-03,74,41
2021-01-10,73,42
2021-01-17,73,42
2021-01-24,71,42
2021-01-31,69,43
2021-02-07,72,43